,INGERSOLL RAND COMPRESSOR PARTS ,,,,,,
Part Number,Qty,,Part Number,Qty,,Part Number,Qty 
AB836C6A ,1,,A43C2EWSE ,1,,A60CN1 ,1
AD6027 ,2,,A43C2WS ,13,,A60CN2AE ,3
AMDA125826 ,1,,A43C2WSFB ,4,,A60CN4 ,1
AMDA145826 ,3,,A43C3 ,46,,A60CS1 ,1
AMDA22307 ,5,,A43C33 ,15,,A60CS2 ,1
A18464 ,6,,A43C4 ,9,,A60C1 ,18
A243PC1 ,1,,A43C4FCA ,4,,A60C1WS ,1
A243PC15 ,84,,A43C5 ,11,,A60C1WSE ,12
A243PC19 ,40,,A43C6 ,10,,A60C1WSF ,13
A28CS3E ,1,,A465PC1WSC ,4,,A60C18 ,45
A28CS33P ,4,,A465PC18 ,20,,A60C18WS ,17
A28CS4E ,3,,A465PC33WS ,44,,A60C2 ,1
A36CN1 ,1,,A465PC5WS ,10,,A60C2HD ,4
A36CN2AB ,1,,A48CN1 ,8,,A60C2WSNB ,2
A36CN3WSB ,3,,A48CN4AB ,1,,A60C3 ,19
A36CN4WSB ,4,,A48CN3WS ,1,,A60C3H ,1
A36CS33 ,2,,A48CN4WS ,1,,A60C33E ,2
A36C1 ,1,,A48C1A ,4,,A60C33LP ,18
A36C1WSE ,3,,A48C1ED ,4,,A60C33WS ,13
A36C16 ,99,,A48C1WSE ,3,,A60C33WSB ,15
A36C2 ,7,,A48C1WSF ,1,,A60C4 ,23
A36C2AB ,18,,A48C16 ,3,,A60C4A ,4
A36C4WSB ,1,,A48C18WS ,6,,A60C4HC ,3
A36C6EA ,1,,A48C2 ,9,,A60C4WSB ,3
A36C6EWSE ,12,,A48C2AB ,1,,A60C5 ,6
A36C6EWSF ,6,,A48C2ED ,2,,A60C5H ,1
A36C6WSB ,8,,A48C2WSA ,5,,A60C6 ,14
A4012 ,3,,A48C2WSHD ,8,,A60C6A ,3
A43CN1 ,3,,A48C3WSE ,6,,A60C6WSMA ,4
A43CN2AC ,1,,A48C4ED ,2,,A67C1 ,4
A43CN3 ,1,,A48C6WS ,5,,A67C18 ,18
A43CN4 ,1,,A48C6W ,1,,A67C18WS ,40
A43C1 ,3,,A54CN1 ,1,,A67C2 ,16
A43C1A ,4,,A54CN2AB ,1,,A67C2WSA ,2
A43C1WSE ,8,,A54C1 ,2,,A67C20D ,3
A43C16 ,4,,A54C18 ,7,,A67C3 ,1
A43C18 ,19,,A54C2 ,1,,A67C33WS ,23
A43C18WS ,1,,A54C33 ,2,,A67C4 ,12
A43C2 ,1,,A54C33WS ,1,,A67C4WS ,4
A43C2AC ,4,,A54C5 ,2,,A67C4WSC ,2
,"LC VOUGHT INGERSOLL RAND COMPRESSOR PARTS, PAGE 1 ",,,,,,
,INGERSOLL RAND COMPRESSOR PARTS ,,,,,,
Part Number,Qty,,Part Number,Qty,,Part Number,Qty 
A67C5 ,3,,CB760913 ,2,,D40CS1 ,1
A67C6 ,4,,CB79090 ,1,,D40CS26 ,2
A67C6G ,8,,CCV17 ,1,,D40CS28 ,23
A67C6WS ,1,,CCV220 ,2,,D40CS29 ,2
A67C6WSHA ,1,,CMC36CS35 ,3,,D40CS33 ,34
A75C1 ,3,,CMK1738A ,40,,D41908 ,1
A75C1A ,6,,CMK22K1N ,3,,D42393T1 ,1
A75C1WSF ,2,,CMK22K2N ,6,,D42393T2 ,1
A75C16 ,2,,CMK36KF9A ,6,,D43511 ,1
A75C18 ,2,,CMY2814 ,5,,D43575 ,1
A75C2AB ,12,,CMY2815 ,8,,D44733 ,1
A75C2C ,3,,CMY5420 ,12,,ESV9 ,2
AA75C3 ,3,,CMY6027 ,5,,EW57549 ,1
A75C33B ,25,,CM1251125E1 ,8,,E1632T2 ,24
A75C5 ,3,,CM1251125E2 ,4,,E558TB ,41
A75C5E ,3,,CM6516 ,1,,E558TC ,99
A75C6 ,3,,CPM3008189X1 ,4,,E558TD ,13
A75C6A ,1,,CPM362B189X1 ,6,,E558TE ,25
A81C1 ,6,,CSV140A ,1,,E558TV ,2
A81C2 ,6,,CSV150A ,1,,FDG24396 ,2
A81C2D ,1,,CSV3B ,1,,FR11619T1 ,1
A81C3 ,11,,CU26983 ,5,,F140S ,1
A81C33V ,2,,CU7121 ,2,,F24835 ,2
A81C6 ,1,,C24943FP2 ,1,,F401 ,11
A81C6D ,18,,D116C16 ,24,,GSV2 ,1
A829PC18 ,16,,D116C33 ,8,,G6289 ,1
A829PC2WSC ,7,,D22228 ,1,,H11252 ,1
A829PC33WSA ,36,,D22245 ,1,,H11265 ,5
A829PC6WSC ,11,,D25C29 ,2,,H12XR71 ,4
A92C1 ,4,,D25CS1 ,2,,H13365 ,1
A92C2 ,1,,D25CS19 ,,,H14902 ,2
A92C2AB ,4,,D25CS26 ,1,,H18104 ,1
BF5706 ,2,,D25CS28 ,22,,H19276 ,13
BK52203 ,1,,D25CS33 ,1,,H22510 ,2
B968 ,9,,D26345T3 ,1,,H32783G1 ,1
CB117190 ,1,,D26894 ,1,,H51G3751 ,1
CB55092 ,2,,D27024 ,1,,H51G5212 ,1
CB58090B ,2,,D34512T1 ,1,,H51G5393 ,1
CB71211T1 ,2,,D36739 ,1,,H51G5395 ,1
CB74097 ,1,,D38503 ,1,,H51G5539 ,1
,"LC VOUGHT INGERSOLL RAND COMPRESSOR PARTS, PAGE 2 ",,,,,,
,INGERSOLL RAND COMPRESSOR PARTS ,,,,,,
Part Number,Qty,,Part Number,Qty,,Part Number,Qty 
H51G5540 ,1,,PP422 ,1,,P2069 ,8
IR300030211 ,2,,PP433 ,7,,P5039A ,50
IR50150R116 ,6,,PP438 ,7,,P5219A ,2
L600P750 ,1,,PP458 ,4,,P6080 ,2
MK10136 ,2,,PP461 ,1,,P6082 ,1
MK40040 ,1,,PP465 ,6,,P6085 ,11
MK50098 ,1,,PP467 ,1,,RA125P115 ,7
MK50232 ,10,,PP477 ,3,,RB125P750 ,9
MK50402 ,1,,PP493 ,12,,RP27036110604 ,1
MK70207 ,1,,PP500 ,1,,RSA1205W1193 ,2
MLH34646G1 ,2,,PP525 ,2,,R1151 ,1
MS2898225 ,2,,PP529 ,4,,R125P510A ,1
OG252 ,8,,PP534 ,17,,R13030 ,14
PP187 ,1,,PP536 ,4,,R13946P2 ,1
PP2 ,37,,PP552 ,6,,R1469 ,5
PP211 ,4,,PP562 ,6,,R15252 ,2
PP212 ,11,,PP566 ,1,,R15256A ,4
PP309 ,2,,PP578 ,1,,R16497 ,4
PP311 ,1,,PP579 ,62,,R1766 ,2
PP313 ,11,,PP583 ,2,,R17712 ,99
PP319 ,18,,PP597 ,33,,R18194 ,2
PP321 ,1,,PP598 ,37,,R18844A ,1
PP336 ,6,,PP635 ,1,,R20102 ,5
PP343 ,56,,PP660 ,10,,R20166 ,1
PP362 ,4,,PP664 ,2,,R2153 ,1
PP377 ,6,,PP705 ,52,,R22594 ,4
PP380 ,7,,PP741 ,16,,R234 ,5
PP385 ,24,,PP752 ,10,,R2396E ,1
PP391 ,52,,PP760 ,1,,R26166 ,4
PP393 ,26,,PP761 ,10,,R33936 ,2
PP394 ,4,,PP771 ,1,,R35206 ,22
PP397 ,2,,PP808 ,8,,R36P104 ,6
PP398 ,2,,PP881 ,1,,R36P105A ,3
PP400 ,10,,PP887 ,1,,R37136 ,1
PP401 ,12,,PP96 ,1,,R37138 ,1
PP402 ,2,,PRE1A3/3A/4/5/67,2,,R40621 ,1
PP405 ,2,,PRE1A#60 ,1,,R40622 ,1
PP407 ,4,,PRE1A#87 ,2,,R43816 ,2
PP412 ,6,,PRE1A#91 ,1,,R47245 ,1
PP414 ,4,,P2061 ,4,,R47248 ,4
,"LC VOUGHT INGERSOLL RAND COMPRESSOR PARTS, PAGE 3 ",,,,,,
,INGERSOLL RAND COMPRESSOR PARTS ,,,,,,
Part Number,Qty,,Part Number,Qty,,Part Number,Qty 
R53608T10 ,1,,U571B125K ,2,,W17775 ,1
R55315 ,8,,U5720B ,1,,W20175 ,1
R618 ,5,,W10058P2 ,7,,W21445 ,2
R63136A225 ,1,,W100589 ,6,,W21446 ,2
R656 ,1,,W107269 ,1,,W21447 ,2
R68651 ,2,,W1106 ,3,,W21448 ,2
R9305P1 ,1,,W110897 ,2,,W21479 ,10
SH8511 ,20,,W111331 ,1,,W23646 ,2
SVH ,1,,W112265 ,7,,W23840 ,24
SV142 ,2,,W112265A ,2,,W24059 ,11
SV31 ,1,,W112347P1 ,1,,W24396 ,1
TA22 ,1,,W114080 ,1,,W24563 ,1
UCF461 ,1,,W114149TK11 ,1,,W25419 ,3
UD55A ,4,,W114149TK20 ,3,,W26141AP1 ,2
UF129 ,2,,W114364T3 ,6,,W26144A ,2
UF131 ,17,,W114364T34 ,2,,W26283 ,1
UF138 ,3,,W114364T36 ,1,,W26552 ,1
UF16 ,99,,W114364T36A ,2,,W26685 ,1
UF17A ,2,,W114364T37C ,1,,W26698 ,5
UF328 ,2,,W114364T37D ,1,,W26700 ,7
UF336 ,3,,W114364T37E ,1,,W26702T ,1
UF337 ,3,,W114364T5 ,1,,W26729 ,2
UF39A ,1,,W114364T6 ,1,,W27326A ,1
UF415 ,12,,W114364T9 ,2,,W27938 ,1
UF58A ,2,,W114883 ,11,,W30333 ,6
UL485 ,6,,W114895 ,2,,W30440 ,12
UL58K ,1,,W115006 ,11,,W31748P2 ,1
UL8333A ,26,,W11857 ,1,,W32685 ,1
UL8649 ,2,,W122230 ,1,,W32936 ,1
UL8869 ,18,,W122291 ,1,,W32937 ,1
UL887A ,2,,W127159 ,1,,W32938 ,1
UL8891 ,2,,W130975 ,4,,W32706 ,1
UL89R600R ,1,,W130976 ,8,,W33567 ,1
UL9051 ,1,,W136434 ,1,,W34874 ,1
UL907AW ,1,,W140135P2 ,10,,W34929 ,1
UM13100 ,2,,W14843 ,1,,W35030 ,2
UM1515 ,1,,W1593 ,3,,W35048 ,1
UR128 ,1,,W1594 ,1,,W35578 ,1
US3712 ,34,,W1619 ,4,,W36152 ,8
U57 ,1,,W1619P1 ,2,,W36153P1 ,7
,"LC VOUGHT INGERSOLL RAND COMPRESSOR PARTS, PAGE 4 ",,,,,,
,INGERSOLL RAND COMPRESSOR PARTS ,,,,,,
Part Number,Qty,,Part Number,Qty,,Part Number,Qty 
W37087 ,3,,W69152 ,7,,W96282 ,1
W3793A ,3,,W75295T110 ,1,,W96366 ,1
W3844 ,2,,W75295T120 ,1,,W96367 ,1
W39810 ,1,,W75295T230R ,1,,W99511 ,1
W40129A ,1,,W75295T51R ,4,,W99622T1 ,1
W40885 ,5,,W75295T60R ,8,,W99622T2 ,2
W40935 ,1,,W75295T90 ,1,,W99622T3 ,1
W41186 ,2,,W75296T155 ,1,,W99622T4 ,1
W43735 ,7,,W75299T20 ,2,,W99622T6 ,1
W43741 ,1,,W75299T30 ,3,,W99622T7 ,1
W43779P1 ,4,,W75300T50X ,1,,W99814T12 ,1
W44014 ,1,,W75306 ,1,,XB1FIG.543 ,1
W45462 ,1,,W75326 ,1,,XPV ,1
W46287 ,1,,W75342 ,1,,XPV14753 ,6
W47699 ,4,,W75445 ,1,,XXA1 ,1
W47739 ,2,,W75642 ,1,,XXH1LA1150 ,2
W48114 ,4,,W75645 ,1,,XXH4A ,20
W48201 ,1,,W78184 ,3,,XXH5G ,1
W48400 ,1,,W80859 ,4,,XXH5LA ,20
W48419 ,6,,W82561 ,2,,XXH6EA ,10
W48650 ,1,,W8295 ,7,,XXH6G ,2
W48727 ,1,,W84336T12AR ,1,,XX13A ,10
W48735 ,1,,W85833 ,1,,XX14 ,20
W48777 ,1,,W86704T1 ,2,,X1T16F ,3
W48951 ,2,,W88409 ,4,,X1T39 ,1
W48952 ,3,,W88689 ,1,,X1T435R ,2
W56922 ,1,,W89470 ,10,,X1001T736 ,4
W56936 ,2,,W89534T24 ,3,,X1001T746 ,8
W57408 ,2,,W89536 ,1,,X1001T838 ,2
W57549 ,3,,W89606 ,56,,X1001T846 ,5
W57550 ,3,,W89608 ,16,,X1001T868 ,8
W57678 ,1,,W89610 ,12,,X1001T966 ,12
W57742 ,1,,W89610T24 ,99,,X1007T1 ,1
W57835 ,1,,W89633 ,61,,X1010T13 ,1
W58780 ,2,,W90674 ,4,,X1010T5 ,2
W60482 ,1,,W90707 ,2,,X1010T9 ,1
W65141 ,6,,W90714 ,2,,X1013T107 ,10
W6514P1 ,2,,W92549 ,1,,X1013T183S ,7
W68194 ,2,,W92553 ,12,,X1013T268F ,28
W6874 ,2,,W92604 ,4,,X1013T49F ,4
,"LC VOUGHT INGERSOLL RAND COMPRESSOR PARTS, PAGE 5 ",,,,,,
,INGERSOLL RAND COMPRESSOR PARTS ,,,,,,
Part Number,Qty,,Part Number,Qty,,Part Number,Qty 
X1013T59F ,4,,X1014T6863 ,20,,X1053T221 ,10
X1013T611 ,37,,X1014T6863F ,10,,X1053T224 ,8
X1013T643 ,13,,X1014T7268 ,74,,X1053T225 ,4
X1013T644 ,12,,X1014T7268F ,22,,X1053T227 ,13
X1014T10399 ,99,,X1014T7672 ,99,,X1053T229 ,4
X1014T108105 ,60,,X1014T86 ,54,,X1053T232 ,11
X1014T115111 ,19,,X1014T80‐76 ,70,,X1053T238 ,6
X1014T126123F ,21,,X1014T8076C ,9,,X1053T266 ,48
X1014T2120 ,10,,X1014T8076F ,14,,X1060T4 ,72
X1014T231 ,1,,X1014T82 ,99,,X1060T5 ,11
X1014T235 ,21,,X1014T8581 ,35,,X1069T728 ,1
X1014T235F ,1,,X1014T8986F ,24,,X1069T736 ,2
X1014T237 ,16,,X1014T9085 ,35,,X1069T842 ,3
X1014T246 ,1,,X1014T9592 ,24,,X1072T1 ,48
X1014T250 ,1,,X1016T34 ,32,,X1075T7 ,1
X1014T258 ,1,,X1016T37 ,35,,X1079T5 ,1
X1014T35 ,6,,X1016T91 ,15,,X1080T34 ,2
X1014T3532 ,1,,X1016T93 ,51,,X1086T153 ,2
X1014T3532F ,22,,X1020T124 ,1,,X1086T37 ,2
X1014T3835 ,65,,X1026T11 ,11,,X1086T38 ,3
X1014T4540 ,1,,X1026T24 ,73,,X1086T45 ,2
X1014T4744 ,73,,X1026T32 ,2,,X1086T5 ,2
X1014T4744F ,6,,X1026T35 ,34,,X1086T9 ,14
X1014T5148 ,99,,X1026T4 ,31,,X1088T634 ,1
X1014T5148F ,25,,X1026T47 ,12,,X1105T1 ,10
X1014T52 ,10,,X1026T6 ,44,,X1105T1F ,80
X1014T5246 ,7,,X1038T136 ,2,,X1105T2 ,48
X1014T5246F ,22,,X1038T208 ,1,,X1105T2F ,4
X1014T5652 ,99,,X1049T29 ,5,,X1105T3 ,42
X1014T5652F ,31,,X1049T30 ,4,,X1105T3F ,46
X1014T5753 ,29,,X1049T31 ,12,,X1105T4 ,23
X1014T60 ,20,,X1049T35 ,3,,X1105T4U ,38
X1014T6057 ,2,,X1049T36 ,3,,X1105T5 ,1
X1014T6357 ,3,,X1049T37 ,5,,X1105T6 ,40
X1014T6357F ,13,,X1049T39 ,5,,X1105T6U ,41
X1014T65 ,39,,X1049T40 ,3,,X1105T8 ,13
X1014T6561 ,8,,X1053T201 ,2,,X1108T15 ,5
X1014T6561F ,32,,X1053T208 ,8,,X1108T20 ,3
X1014T6764 ,10,,X1053T217R ,6,,X1108T23 ,8
X1014T6764F ,28,,X1053T220 ,6,,X1131T10 ,5
,"LC VOUGHT INGERSOLL RAND COMPRESSOR PARTS, PAGE 6 ",,,,,,
,INGERSOLL RAND COMPRESSOR PARTS ,,,,,,
Part Number,Qty,,Part Number,Qty,,Part Number,Qty 
X1131T11 ,6,,X1297T4A ,12,,X1440T34H ,48
X1131T2 ,16,,X1297T97 ,3,,X1440T46H ,1
X1131T3 ,63,,X1312T12 ,17,,X1440T54M ,1
X1131T8 ,1,,X1334TA36 ,4,,X1440T59B ,2
X113398 ,1,,X1334TA43 ,1,,X1440T59H ,4
X11371.12 ,3,,X1334TA48 ,7,,X1440T67H ,1
X11371.7 ,1,,X1334TA48A ,2,,X1440T67M ,2
X1144T48 ,3,,X1334TA60 ,12,,X1440T70B ,12
X1181T6X 1/4 ,60,,X1334TA75 ,4,,X1440T74B ,19
X1181T6 1/4X1/4 ,6,,X1334T43CS ,1,,X1440T74M ,28
X1188T15 ,10,,X1334T48CS ,5,,X1440T83B ,6
X12A ,3,,X1336T11 ,1,,X1440T83M ,6
X1220T122 ,2,,X1336T5 ,5,,X1440T9A ,7
X1220T126 ,1,,X1343TA43A ,1,,X1440T9B ,99
X1220T13 ,2,,X1352T13 ,16,,X1440T90M ,8
X1220T144 ,16,,X1352T19 ,2,,X1440T95B ,8
X1220T51 ,2,,X1352T22A ,3,,X1441T3 1/8X3/16 ,3
X1220T75 ,1,,X1359T48 ,1,,X1442T3 1/8X3/32 ,3
X1220T79 ,1,,X1359T6 ,1,,X1442T6 1/4X1/4 ,22
X1242T10X3/8 ,2,,X1363T12 ,34,,X1442T6 1/2 ,9
X1244T2 ,99,,X1363T76 ,7,,X1453T34 ,1
X1244T2.25B ,8,,X1396T191300 ,1,,X1453T62 ,1
X1244T3 7/8 ,1,,X1396T19800 ,10,,X1453T69 ,12
X1244T3 7/8B ,10,,X1396T2860 ,4,,X1453T70 ,9
X1244T3.88 ,1,,X1396T461000 ,1,,X1453T82 ,3
X1244T3.88B ,1,,X14T18 ,24,,X1457T13A ,1
X1244T3B ,12,,X1406T1 ,1,,X1457T14A ,3
X1244T3D ,2,,X1434T38 ,3,,X1457T19A ,5
X1244T4 ,2,,X1434T40 ,6,,X1457T38A ,4
X1244T4.25 ,1,,X1434T45 ,1,,X1457T44A ,1
X1244T4B ,15,,X1434T55 ,10,,X1457T6 ,16
X1244T5.25 ,1,,X1434T70 ,10,,X1457T9A ,9
X1244T5 1/4 ,1,,X1434T70N ,1,,X1462TA465CB ,5
X1244T6.75 ,1,,X1434T71 ,2,,X1462TA465CC ,1
X1264T5/16X5 ,10,,X1434T71N ,1,,X1498T1 ,4
X1273T5 ,1,,X1440T104E ,1,,X1498T15F ,2
X1277R5 ,6,,X1440T105M ,17,,X1498T8F ,2
X1277T6 ,6,,X1440T16A ,1,,X1514T326 ,1
X1286T646 ,1,,X1440T28H ,1,,X1514T331D ,1
X1297T30 ,6,,X1440T31B ,8,,X1514T332 ,1
,"LC VOUGHT INGERSOLL RAND COMPRESSOR PARTS, PAGE 7 ",,,,,,
,INGERSOLL RAND COMPRESSOR PARTS ,,,,,,
Part Number,Qty,,Part Number,Qty,,Part Number,Qty 
X1514T346D ,99,,Y708 ,8,,1R15256A ,5
X1530T737 ,4,,Y808 ,3,,1R15260A ,3
X1530T750 ,3,,Y908 ,10,,1R15695P1 ,4
X1530T840 ,3,,1A11B22 ,4,,1R16978P1 ,1
X1530T856 ,2,,1A11E24 ,22,,1R17287 ,2
X1531T728 ,11,,1A11G48 ,1,,1R17310 ,1
X1531T836 ,1,,1A11G54 ,14,,1R17685 ,2
X1535T1 ,1,,1A11R32 ,9,,1R17687 ,7
X1535T30 ,1,,1A11R36 ,53,,1R18497B ,2
X1547T28C ,4,,1A11T18 ,16,,1R18839 ,2
X1559T3 ,1,,1A11T25 ,1,,1R1950P2 ,16
X1561T11C ,1,,1A11T28 ,3,,1R1951 ,6
X1561T5 ,1,,1A12KKK37S ,1,,1R1967 ,4
X1561T5F ,3,,1A213T ,3,,1R1972 ,1
X1561T8 ,21,,1F2786 ,1,,1R1973 ,10
X1566T18 ,1,,1F6 ,19,,1R2004 ,3
X1568T14 ,6,,1F7597 ,1,,1R2005 ,1
X1568T9 ,7,,1H11076T6 ,1,,1R21556 ,2
X1587T59 ,3,,11H14169 ,2,,1R21973 ,1
X1587T60 ,5,,1H16536 ,2,,1R22831 ,1
X1590T13 ,2,,1H3723P2 ,1,,1R22831B ,1
X1617T8X25 ,1,,1H4043 ,2,,1R2399A ,1
X1630T13 ,2,,1H6952 ,8,,1R2400P3 ,2
X1725T3 ,60,,1H9365B ,1,,1R25357 ,6
X18T3 ,4,,1H9917 ,2,,1R27844 ,1
X35T412X ,1,,1P15 ,2,,1R29310 ,1
YD608C ,4,,1P187 ,1,,1R29647 ,1
Y1002 ,1,,1P189 ,2,,1R37332 ,6
Y101 ,6,,1P454 ,99,,1R37334 ,5
Y1040T1 ,2,,1R10518 ,5,,1R37335 ,1
Y1040T3 ,6,,1R13684 ,1,,1R37337 ,6
Y217 ,46,,1R13702 ,1,,1R37339 ,6
Y300DTC ,9,,1R13708 ,2,,1R37341 ,3
Y300ETC ,7,,1R13905BP2 ,2,,1R37346 ,12
Y308 ,10,,1R13946P2 ,3,,1R37350 ,3
Y500H ,8,,1R14081 ,1,,1R37487 ,6
Y500HTB ,1,,1R14120 ,1,,1R42366 ,6
Y503 ,8,,1R14194 ,2,,1R4325E ,2
Y601 ,4,,1R14294P3 ,5,,1R46768 ,3
Y701 ,5,,1R152525 ,2,,1R46977 ,6
,"LC VOUGHT INGERSOLL RAND COMPRESSOR PARTS, PAGE 8 ",,,,,,
,INGERSOLL RAND COMPRESSOR PARTS ,,,,,,
Part Number,Qty,,Part Number,Qty,,Part Number,Qty 
1R5252 ,1,,1W25089 ,3,,1W28351 ,1
1R5404PIT ,1,,1W25191 ,5,,1W29074 ,1
1R601 ,8,,1W25227A ,4,,1W2951 ,8
1R6044 ,1,,1W25313P1 ,2,,1W2953 ,2
1R6428 ,1,,1W25357 ,6,,1W2957 ,1
1R9468 ,5,,1W25416 ,1,,1W2959 ,10
1W10057 ,1,,1W25422 ,9,,1W29630 ,9
1W10106 ,1,,1W25423 ,4,,1W2968 ,24
1W10107 ,3,,1W25440P1 ,4,,1W2969 ,1
1W108995 ,2,,1W25453 ,2,,1W2971 ,4
1W114892 ,12,,1W25546 ,4,,1W2973 ,3
1W1163 ,1,,1W25586 ,1,,1W2975 ,3
1W1164C ,27,,1W25587 ,5,,1W2976 ,7
1W1169 ,2,,1W25645 ,7,,1W29853 ,11
1W118750 ,2,,1W25673 ,10,,1W2996 ,12
1W122291 ,1,,1W25674P1 ,10,,1W30779 ,19
1W12513 ,1,,1W25679 ,1,,1W3081 ,2
1W12624 ,2,,1W25681T ,3,,1W31430P1 ,6
1W12705 ,6,,1W25682 ,2,,1W31470 ,3
1W14265 ,6,,1W25712 ,12,,1W31571 ,7
1W1590P1 ,1,,1W25803 ,5,,1W31592 ,1
1W1599 ,12,,1W26020 ,17,,1W31593 ,1
1W1599P1 ,7,,1W26133 ,2,,1W31595 ,3
1W1609 ,13,,1W26142 ,2,,1W31596 ,5
1W16150 ,1,,1W26142A ,5,,1W31961 ,6
1W1616 ,4,,1W26144 ,3,,1W32252 ,12
1W1619 ,30,,1W2641 ,15,,1W32394 ,5
1W16257 ,1,,1W26700 ,3,,1W32395P4 ,7
1W16769 ,1,,1W26933 ,6,,1W32399A ,10
1W174 ,1,,1W27008 ,17,,1W32401 ,5
1W1776H ,1,,1W27010 ,24,,1W32406 ,10
1W18169T ,2,,1W27223 ,1,,1W32407 ,5
1W1854 ,1,,1W27443 ,3,,1W32408 ,3
1W20129A ,1,,1W27610 ,15,,1W32409 ,47
1W23333 ,11,,1W27612 ,3,,1W32410 ,5
1W23715 ,9,,1W27840 ,2,,1W33116A ,5
1W23840 ,15,,1W27893 ,12,,1W33244 ,1
1W23863B ,1,,1W28027 ,1,,1W33310 ,2
1W23943 ,13,,1W28061 ,6,,1W33545 ,2
1W2446 ,1,,1W28340 ,1,,1W33822 ,12
,"LC VOUGHT INGERSOLL RAND COMPRESSOR PARTS, PAGE 9 ",,,,,,
,INGERSOLL RAND COMPRESSOR PARTS ,,,,,,
Part Number,Qty,,Part Number,Qty,,Part Number,Qty 
1W33938 ,1,,1W8716 ,8,,102A2H61 ,3
1W34804 ,1,,1W87288 ,4,,1021083P3 ,1
1W34929 ,6,,1W87459 ,4,,104C33 ,29
1W35009 ,1,,1W89581P1 ,1,,104C6B ,1
1W35304 ,3,,1W89610T24 ,1,,109A2A139 ,6
1W35546 ,1,,1W89620 ,27,,11A13S38R ,6
1W36154 ,1,,1W89628 ,7,,11A3C466 ,8
1W36340 ,4,,1W89633 ,12,,11A9C40 ,1
1W36649 ,3,,1W90092 ,5,,11A9C437 ,2
1W37087 ,5,,1W9011 ,5,,11A9C736 ,4
1W37707 ,11,,1W9030 ,1,,11A9C738 ,2
1W3798 ,1,,1W9031 ,3,,11A9C83 ,1
1W43027 ,16,,1W9033 ,2,,11ES1063 ,11
1W43077 ,6,,1W9047 ,5,,11ES1064 ,1
1W43183 ,12,,1W9058P1 ,8,,110196,2
1W44486 ,6,,1W9063 ,2,,1.11E+10 ,1
1W45460 ,2,,1W9073 ,2,,114732,4
1W45461 ,2,,1W9090P1 ,6,,114734,6
1W46394 ,7,,1W9092 ,18,,11587BA ,2
1W47699 ,4,,1W90976 ,12,,116K22 ,1
1W47719 ,1,,1W92018 ,12,,116K3A ,16
1W49160 ,1,,1W9205 ,1,,116K3B ,21
1W58341 ,2,,1W9206A ,21,,116K3C ,16
1W58342 ,3,,1W92075 ,3,,116K5P ,1
1W58348 ,3,,1W92086 ,3,,116089,2
1W59182P1 ,2,,1W93088 ,99,,117352T2138 ,2
1W6071 ,2,,1W93088T12 ,7,,1174C146 ,5
1W6514P1 ,1,,1W9392 ,2,,117634,2
1W6722P1 ,2,,1W94303 ,5,,117635,2
1W68436 ,22,,1W94316 ,3,,1179423,2
1W68563 ,5,,1W95764 ,16,,1179425,2
1W71013 ,3,,1W95765 ,5,,118317,4
1W71948 ,44,,1W95766 ,10,,1.19E+09 ,8
1W73193 ,3,,1W95767 ,15,,1.19E+08 ,2
1W75132 ,4,,1W95768 ,9,,118753T1021 ,1
1W76378 ,3,,1W95769 ,18,,118753T904 ,1
1W76556 ,1,,1W97804 ,3,,119A2A256 ,1
1W82555 ,2,,1W9888P1 ,3,,119A2R152 ,2
1W83337 ,2,,101A2H174 ,1,,119165,1
1W84336T12A ,2,,102A2H138 ,2,,119167,2
,"LC VOUGHT INGERSOLL RAND COMPRESSOR PARTS, PAGE 10 ",,,,,,
,INGERSOLL RAND COMPRESSOR PARTS ,,,,,,
Part Number,Qty,,Part Number,Qty,,Part Number,Qty 
1194411,6,,14XR146 ,2,,17A18CB481 ,6
119441T1 ,1,,141276,1,,17A18CD319 ,1
12A18CA131 ,1,,142229,6,,17K1 ,3
12A18CB1188 ,2,,142594,1,,17K1A ,3
12A18CB826 ,1,,142692,2,,17K1G ,3
