,INGERSOLL RAND COMPRESSOR PARTS ,,,,,,
12A18CB846V ,2,,143151,1,,17K2G ,3
12A18CC826 ,2,,143153,3,,17K3G ,1
12A18CD378 ,12,,143154,4,,17K3M ,2
12K1F ,2,,144493,1,,17K8 ,99
12K1N ,5,,15A11JA36L ,28,,17K9 ,99
12K1NA ,2,,150B189X4 ,2,,1701C ,16
12K2 ,14,,153271T1 ,1,,181A13CXRS275 ,1
12K2C ,40,,1532711,4,,181A13CXRS425 ,1
12K2F ,1,,1532713,8,,181431,1
12K2NA ,24,,1598C1T72 ,2,,182011,3
12K3 ,99,,16A13C125 ,4,,1822073012A ,2
12K3D ,6,,16A4C10 ,4,,1822073012B ,99
12K5F ,2,,161A13S50 ,2,,18221257,1
12K8 ,23,,1638C1 ,1,,1.82E+09 ,1
12K9 ,1,,165671B15 ,3,,1.82E+09 ,1
12XOB14 ,1,,165671B16 ,6,,182491,2
120A12X061 ,3,,165671B22 ,1,,182960B41 ,1
120A2A169 ,1,,16572327,11,,18296478,1
128506,1,,165902B73 ,2,,18296594A ,1
1.29E+09 ,10,,16590291,3,,183125,12
128520,2,,16590292,6,,1.83E+09 ,4
128968,1,,1.66E+08 ,4,,1842095,3
129329,17,,165992B103 ,3,,1849491,3
13A11JF24 ,1,,165993B105 ,2,,185424B89 ,2
13ES1064 ,1,,1662914,18,,185831,4
13021D17 ,4,,16629150,99,,185835B17 ,12
13021D1T7 ,1,,166627,2,,188099,4
14A11HB32 ,1,,166833,2,,19A19N10 ,1
14A11JF24 ,4,,1680126,7,,2 3/4UL31CEA ,1
14A5C54 ,48,,168012T6 ,1,,2.75UL31CEA ,1
14A5C64 ,46,,16968340,1,,2A105 ,99
14A5C65 ,99,,169728,1,,2A11B22 ,1
14A9C535 ,1,,169756,2,,2A11C28 ,6
14XR142 ,4,,169763,3,,2A11C32 ,3
14XR143 ,3,,17A13A208 ,2,,2A11R32 ,4
,"LC VOUGHT INGERSOLL RAND COMPRESSOR PARTS, PAGE 11 ",,,,,,
,INGERSOLL RAND COMPRESSOR PARTS ,,,,,,
Part Number,Qty,,Part Number,Qty,,Part Number,Qty 
2A11R36 ,54,,2P126 ,3,,2W10744 ,1
2A11T32 ,20,,2P127 ,4,,2W10747 ,3
2A11T36 ,4,,2P128L ,6,,2W10807 ,3
2A148 ,1,,2P128S ,48,,2W11103 ,10
2A205 ,99,,2P172 ,5,,2W13223 ,14
2A600E ,4,,2P234 ,4,,2W13363 ,1
2A606 ,1,,2P341 ,2,,2W13403 ,2
2A84 ,2,,2P487 ,12,,2W13939 ,55
2F6531 ,1,,2P490 ,6,,2W1542 ,7
2F7018 ,1,,2P84 ,23,,2W1600 ,38
2F805 ,3,,2P91 ,2,,2W17122 ,4
2G6144 ,2,,2R10449 ,2,,2W17774 ,2
2G6209 ,5,,2R1151TWA ,1,,2W20237 ,5
2G6231 ,4,,2R11537 ,2,,2W20331 ,34
2G6235 ,4,,2R13405T ,7,,2W20786 ,2
2G6236 ,4,,2R15017 ,2,,2W2174 ,12
2G6237 ,5,,2R1724 ,1,,2W21790 ,1
2G6238 ,4,,2R1726 ,2,,2W24013 ,2
2G6249 ,12,,2R1739 ,2,,2W24157 ,1
2G6263 ,12,,2R1740 ,2,,2W24171 ,4
2G6276 ,1,,2R17415 ,2,,2W24172 ,2
2H11542 ,1,,2R17416 ,1,,2W24176P1 ,6
2H11590 ,3,,2R17466P1 ,1,,2W24425 ,3
2H1287 ,2,,2R18027 ,1,,2W24605 ,6
2H15074 ,9,,2R18674 ,4,,2W2542 ,2
2H15164 ,1,,2R2155 ,1,,2W2564 ,15
2H15168T ,1,,2R21993 ,1,,2W2566 ,8
2H15169 ,1,,2R2214 ,1,,2W30215 ,9
2H17875 ,2,,2R22219P1 ,1,,2W30342 ,2
2H21074 ,4,,2R26531 ,1,,2W30343 ,2
2H2152T ,3,,2R26732 ,1,,2W30356 ,1
2H25062P1 ,5,,2R34488 ,1,,2W30364 ,6
2H37511 ,1,,2R6755 ,6,,2W30365 ,3
2H439 ,2,,2S211 ,1,,2W30371 ,2
2H440 ,2,,2S275 ,1,,2W30374 ,2
2H5866 ,1,,2VG1014 ,1,,2W30424 ,1
2H9881 ,4,,2W10413 ,5,,2W30445 ,2
2P11A ,3,,2W10415 ,21,,2W32568 ,1
2P101 ,4,,2W10560 ,1,,2W32599T ,35
2P125 ,3,,2W10561 ,1,,2W32599 ,10
,"LC VOUGHT INGERSOLL RAND COMPRESSOR PARTS, PAGE 12 ",,,,,,
,INGERSOLL RAND COMPRESSOR PARTS ,,,,,,
Part Number,Qty,,Part Number,Qty,,Part Number,Qty 
2W32601 ,9,,20XPV142 ,3,,26A13F61 ,81
2W32602 ,10,,20XPV146 ,1,,26A19X209 ,1
2W32668 ,7,,20XPV46 ,1,,2630B11 ,13
2W32730 ,1,,20XPV46A ,1,,2630B14 ,9
2W32787 ,1,,20XPV64 ,2,,2630B19 ,18
2W34874 ,1,,20XPV667 ,6,,27A11G22B ,6
2W35026 ,1,,20XPV92 ,2,,27A11G24B ,11
2W35052 ,5,,20XRD1101 ,1,,27A11G24D ,28
2W35053 ,16,,201A11N1206L ,1,,27A11G28B ,19
2W3592 ,8,,201A11N2044L ,1,,27A11G32A ,8
2W37087 ,4,,201A11N51L ,1,,27A11G32B ,14
2W37860 ,6,,206170A ,3,,27A11G36B ,4
2W37985 ,4,,207A11AN09044 ,2,,27A11G48B ,2
2W41817 ,12,,207A11AN13553 ,1,,1740B1 ,1
2W4200C ,1,,207A11AN9170 ,1,,28A11G18C ,8
2W4551 ,23,,2177B1 ,1,,28A11G22B ,4
2W48519 ,2,,22CS14 ,43,,28A11G24B ,7
2W48951 ,1,,22CS33 ,5,,28A11G24D ,42
2W57443 ,9,,22K3 ,32,,28A11G25B ,1
2W6374 ,7,,22K5R ,1,,28A11G28B ,29
2W69463 ,5,,22K6 ,4,,28A11G32B ,30
2W7431 ,2,,22K8 ,28,,28A11G48B ,6
2W78236 ,1,,22K8PC ,3,,28CS1 ,8
2W78396 ,2,,22K9 ,20,,28CS1A ,10
2W84929T81 ,1,,2273C1 ,2,,25CS1E ,1
2W86706 ,2,,241A10B1 ,1,,28CS1F ,1
2W86741 ,8,,2412C1 ,1,,28CS1WSA ,6
2W90707 ,8,,242A10B1 ,1,,28CS10 ,8
2W92549 ,1,,2461C1 ,1,,28CS14 ,4
20A11BM333 ,48,,25C509 ,4,,28CS16 ,5
20A11CM114 ,1,,25C1331 ,6,,28CS2 ,1
20A11CM264 ,4,,2527B1 ,1,,28CS2B ,3
20A11CM337 ,10,,26A11G22B ,8,,28CS20 ,1
201AACM341 ,9,,26A11G36A ,2,,28CS3 ,3
20A11CM449 ,1,,26A11G36B ,5,,28CS33 ,1
20A11CM450 ,2,,26A11G48B ,1,,28CS4E ,5
20A11CM460 ,1,,26A13F105 ,99,,28CS4F ,1
20A11C2M218 ,1,,26A13F108 ,99,,28CS5 ,41
20A11EM261 ,1,,26A13F501 ,59,,28CS5D ,13
20XPV141 ,1,,26A13F503 ,99,,28CS6 ,1
,"LC VOUGHT INGERSOLL RAND COMPRESSOR PARTS, PAGE 13 ",,,,,,
,INGERSOLL RAND COMPRESSOR PARTS ,,,,,,
Part Number,Qty,,Part Number,Qty,,Part Number,Qty 
28CS6D ,4,,3R15833 ,1,,3W11243 ,1
28C705 ,1,,3R15836 ,4,,3W11301 ,5
28K1E ,1,,3R15836T ,6,,3W11313 ,1
28K11 ,26,,3R15847 ,14,,3W11315 ,1
28K2E ,2,,3R22542 ,20,,3W11316 ,13
28K3 ,12,,3R22543 ,18,,3W11317 ,6
28K4R ,1,,3R22543T ,4,,3W11319 ,3
28K8 ,25,,3R22544 ,7,,3W11340 ,19
28K9 ,1,,3R22544T1 ,1,,3W114080 ,6
2953B1 ,2,,3R22559 ,19,,3W114149TK17 ,1
2955B1 ,2,,3R22560P1 ,8,,3W114149TK18 ,1
2956B1 ,2,,3R22561P2 ,45,,3W11477 ,1
299A17C16 ,1,,3R22619T ,3,,3W11560 ,2
299A17C20 ,2,,3R22619T2 ,4,,3W11560P1 ,1
299A17S12 ,12,,3R22629T ,1,,3W11627 ,1
299A17S16 ,3,,3R25636 ,4,,3W11652 ,2
299A17S20 ,4,,3R28750 ,2,,3W11653T ,1
3 7/8LUL31CB ,8,,3R28750A ,3,,3W11655 ,4
3 7/8UL31C1 ,8,,3R30441 ,6,,3W11655T ,99
3A10 ,1,,3R30467 ,5,,3W11656 ,2
3A11G22 ,3,,3R33936 ,14,,3W11730 ,50
3A11G28 ,5,,3R36P750 ,2,,3W11791 ,2
3A11G32 ,12,,3W39685T ,4,,3W11860 ,9
3A211 ,50,,3R40641 ,7,,3W11861 ,1
3A216 ,55,,3R4081 ,4,,3W11945 ,4
3A4 ,6,,3R40854T1 ,1,,3W11969 ,1
3A650 ,1,,3R53608T10 ,5,,3W11970 ,2
3A705 ,2,,3R7443 ,1,,3W11983 ,20
3H12844 ,1,,3R763 ,1,,3W12102 ,3
3H19686 ,3,,3R763T ,8,,3W12173 ,3
3H19728T3 ,6,,3R768 ,15,,3W12174 ,1
3H22184 ,4,,3R7742T ,1,,3W12177T ,4
3H36355 ,30,,3R7748T ,5,,3W12178 ,99
3H5864 ,3,,3R7845 ,5,,3W12184 ,40
3H5867 ,5,,3R7846 ,1,,3W18489 ,1
3H5868 ,1,,3R7847 ,4,,3W18490 ,5
3H5869 ,2,,3R7848 ,5,,3W18573 ,2
3H5967 ,31,,3R8168 ,3,,3W21169 ,1
3H6159P1 ,1,,3W103119 ,1,,3W21443T ,2
3R15823 ,1,,3W111651 ,19,,3W21445 ,10
,"LC VOUGHT INGERSOLL RAND COMPRESSOR PARTS, PAGE 14 ",,,,,,
,INGERSOLL RAND COMPRESSOR PARTS ,,,,,,
Part Number,Qty,,Part Number,Qty,,Part Number,Qty 
3W21446 ,5,,3W39927 ,5,,3W69656 ,12
3W21447 ,12,,3W39944 ,71,,3W740 ,3
3W21451 ,5,,3W39968 ,1,,3W75288T10 ,20
3W21452 ,15,,3W4007T ,1,,3W75291T3D ,1
3W21482 ,10,,3W42683 ,15,,3W75295T10 ,3
3W21543T ,1,,3W42753 ,1,,3W75295T10R ,14
3W21544 ,2,,3W42756 ,2,,3W75295T140 ,2
3W21725 ,2,,3W42756P1 ,4,,3W75295T150 ,1
3W21913 ,1,,3W45691 ,2,,3W75295T20 ,1
3W21940 ,3,,3W45691T ,2,,3W75295T20R ,15
3W21992 ,2,,3W45692 ,5,,3W75295T230R ,1
3W2274 ,2,,3W45775 ,10,,3W75295T30 ,1
3W28577T3 ,1,,3W45781 ,1,,3W75295T300 ,1
3W28578 ,1,,3W45785 ,32,,3W75295T60R ,5
3W28579 ,3,,3W45835 ,35,,3W75295T70R ,1
3W28714 ,3,,3W45844 ,35,,3W75295T80R ,1
3W28716 ,3,,3W45918 ,19,,3W75295T90 ,1
3W28757 ,34,,3W45932 ,2,,3W75296T155 ,1
3W28760 ,34,,3W49816T1 ,2,,3W75296T240 ,3
3W28761 ,6,,3W49817T1 ,2,,3W75296T310 ,1
3W28761P1 ,34,,3W49818E ,3,,3W75297T20C ,2
3W28762P1 ,48,,3W51520 ,8,,3W75299T30 ,1
3W28763P1 ,62,,3W51643 ,2,,3W75299T33 ,1
3W28817 ,1,,3W5288T10 ,1,,3W75299T40 ,1
3W34259 ,1,,3W54045 ,1,,3W75300T50 ,13
3W34348T ,1,,3W54146 ,1,,3W75301T51 ,1
3W34478 ,25,,3W54164 ,22,,3W75305T30 ,1
3W34479 ,28,,3W54244 ,2,,3W75305T70 ,2
3W39658 ,38,,3W54245 ,7,,3W75306 ,4
3W39702 ,13,,3W54247 ,3,,3W75307 ,99
3W39722 ,3,,3W56168 ,6,,3W75326 ,12
3W39724 ,3,,3W56199 ,10,,3W75327 ,5
3W39729 ,9,,3W60421 ,4,,3W75445 ,12
3W39742 ,3,,3W63490 ,2,,3W75496 ,1
3W39745 ,24,,3W63623 ,3,,3W84893 ,4
3W39746 ,7,,3W6868 ,8,,3W96251 ,1
3W39749 ,2,,3W6869 ,10,,3W99622T3 ,4
3W39755 ,81,,3W6870 ,22,,3W99622T7 ,1
3W39769 ,4,,3W6874 ,99,,30A11C0056X07 ,1
3W39771 ,6,,3W6925 ,20,,30A11C0060X13 ,1
,"LC VOUGHT INGERSOLL RAND COMPRESSOR PARTS, PAGE 15 ",,,,,,
,INGERSOLL RAND COMPRESSOR PARTS ,,,,,,
Part Number,Qty,,Part Number,Qty,,Part Number,Qty 
30A11C0116X10 ,1,,31385693,1,,35106806,17
30A11C0332X10 ,12,,31480015,1,,35107002,1
30A11C0738X12 ,1,,316157F ,1,,35107093,12
30A11F0360X10 ,27,,316157M ,3,,35108521,1
30A11F0454X14 ,10,,3165E1P1 ,1,,35110139,12
30A11F0514X10 ,1,,3165E1P1T ,1,,35111566,18
30A11U0830X08 ,8,,3196C1 ,2,,35111574,1
30T24W ,13,,32A11C15 ,1,,35111913,1
30T25W ,9,,32R32W ,3,,35112507,4
301A17B3 ,1,,3208051,2,,35112531,1
30162341,2,,32127441,2,,35112572,3
3022S1 ,6,,32132953,1,,35112580,6
30233894,2,,32153926,1,,35112671,1
30236996,1,,3217AV ,1,,35112853,2
30258420,6,,326725A ,2,,35112861,13
302601CW1 ,1,,326726A ,1,,35113661,12
30334445,1,,33052150,1,,35117423,6
30340566,2,,3336FE01001A ,2,,35118330,1
30342414,1,,3336FE02001A ,1,,35118736,5
30365126,1,,35A2C3 ,1,,35126556,11
30418065,6,,35A2D331 ,1,,35127018,1
30425458,29,,35A2D60 ,99,,35128131,8
30425466,30,,35A2D63 ,1,,35132794,1
30454532,2,,35A2D7 ,99,,35134352,1
30472161,1,,35A21C3 ,4,,35135730,5
30479190,1,,35A21C331 ,8,,35135748,18
50477954,4,,35A21D63 ,32,,35136647,5
30540256,2,,35017300,1,,35141027,3
30552962,2,,35027671,1,,35141175,10
30557698,2,,35034156,2,,35148972,2
30576441,1,,35035849,2,,35157585,1
30622815,2,,35044635,1,,35160365,1
30675516,1,,35063643,1,,35163468,1
30812119,2,,35079383,2,,35245190,2
30842918,1,,35096189,1,,35245455,1
31A11A10 ,14,,35104819,1,,35251685,1
31A11A12 ,2,,35106020,10,,35255553,1
31A11C10 ,29,,35106277,6,,35255561,1
31A11C12P1 ,3,,35106483,2,,35262419,2
31A4C13 ,3,,35106764,5,,35263490,7
,"LC VOUGHT INGERSOLL RAND COMPRESSOR PARTS, PAGE 16 ",,,,,,
,INGERSOLL RAND COMPRESSOR PARTS ,,,,,,
Part Number,Qty,,Part Number,Qty,,Part Number,Qty 
35272749,1,,35333723,1,,35904945,2
35275064,4,,35356781,1,,36CS1 ,9
35278530,2,,35356799,1,,36CS1B ,8
35278589,1,,35368020,1,,36CS10 ,8
35280825,1,,35371673,1,,36CS14 ,8
35281955,3,,35373711,1,,36CS16 ,48
35282821,1,,35376060,1,,36CS16A ,1
35283134,1,,35500313,1,,36CS2 ,3
35284264,2,,35502376,2,,36CS2B ,9
35287499,6,,35503039,1,,36CS3 ,2
35287911,1,,35503218,1,,36CS3B ,1
35287929,1,,35503234,1,,36CS33 ,2
35288430,1,,35505460,2,,36CS4 ,9
35289602,2,,35511971,3,,36CS4B ,22
35293331,1,,35512508,1,,36CS5 ,67
35293380,1,,35574912,1,,36CS5B ,1
35294909,1,,35578590,1,,36CS6 ,25
35294933,1,,35579663,1,,36CS9 ,4
35296961,2,,35579762,1,,36C1B ,9
35298504,1,,35582629,1,,36C1C ,2
35300474,1,,35583418,1,,36C2 ,2
35300748,1,,35584820,1,,36C2B ,4
35301761,9,,35585058,1,,36C2C ,7
35301902,1,,35586130,1,,36C20 ,1
35301944,1,,35593482,1,,36C3B ,1
35304062,1,,35593490,4,,36C33 ,6
35311406,2,,35701523,1,,36C4 ,1
35315142,2,,35706761,1,,36C5B ,2
35315159,2,,35710334,1,,36K11 ,43
35315167,2,,35725977,1,,36K11B ,3
35315183,2,,35782606,2,,36K16 ,12
35315191,2,,35816875,1,,36K25 ,7
35315266,5,,35821933,1,,36K3 ,1
35315845,2,,35828011,1,,36K5 ,30
35316926,1,,35863265,1,,36K6 ,3
35318161,1,,35890219,2,,36K7 ,29
35319045,1,,35891266,2,,36K7NE ,9
35321975,1,,35898238,3,,36K8 ,1
35327246,2,,35898915,16,,36471324,5
35331990,1,,35903129,2,,36757581,3
,"LC VOUGHT INGERSOLL RAND COMPRESSOR PARTS, PAGE 17 ",,,,,,
,INGERSOLL RAND COMPRESSOR PARTS ,,,,,,
Part Number,Qty,,Part Number,Qty,,Part Number,Qty 
36860468,1,,4A201 ,1,,40001265,8
36863389,1,,4A202 ,4,,40001349,2
37034899,4,,4A254B ,99,,40001406,8
37038718,14,,4A255 ,6,,40001620,2
37076205,1,,4A35 ,1,,40002180,1
37087707,2,,4A351 ,1,,40005258,1
37101649,1,,4A4 ,26,,40006256,1
37116944,1,,4A4C14 ,6,,40007916,1
37126612,2,,4A600T2 ,1,,40009169,1
37154275,1,,4A721A ,80,,40009185,1
37157872,1,,4A800A ,4,,40009201,1
37161577,1,,4A801 ,2,,40011462,3
37172368,1,,4A802 ,2,,40011470,2
3727D1 ,2,,4A803 ,2,,40011538,1
3774C1 ,2,,4A804 ,2,,40016644,1
3775C1 ,3,,4P127 ,4,,40502726,4
3786C1 ,12,,4P136 ,9,,40509929,1
3792C1 ,3,,4P6 ,8,,40509937,1
38A4S3 ,4,,4S236 ,3,,40509952,7
3800C11 ,2,,4S344 ,2,,40526246,1
3800C1T1 ,1,,4UL31B1 ,1,,40528358,1
3800C1T2 ,1,,40A4C10 ,4,,40528580,1
39A11X9 ,3,,40CS1 ,5,,40528812,1
39096110,1,,40CS1B ,8,,41N424 ,5
39096151,1,,40CS1C ,3,,41000985,5
39100029,1,,40CS2 ,4,,41004532,3
39120522,1,,40CS3 ,2,,41020371,1
39124920,1,,40CS3B ,4,,41023433,1
39156781,1,,40CS33 ,2,,42100800,3
39763156,3,,40CS4B ,2,,42105114,2
4 1/4SUL31CE ,1,,40CS5 ,34,,42108597,2
4 1/4UL31CEA ,7,,40CS5B ,1,,42139485,1
4.25SUL31CE ,1,,40CS6 ,3,,42153056,1
4.25UL31C1 ,1,,40KD7B ,2,,42300368,1
4 1/4UL31C1 ,2,,40K16 ,20,,42300400,7
4 1/4UL31C3E ,4,,40K3B ,7,,42300509,2
4A10B3 ,2,,40K6BH ,4,,42300541,1
4A11G28 ,3,,40K6N ,4,,42300558,1
4A150 ,2,,40K7B ,1,,42306084,2
4A151 ,3,,40X1B ,3,,42315846,1
,"LC VOUGHT INGERSOLL RAND COMPRESSOR PARTS, PAGE 18 ",,,,,,
,INGERSOLL RAND COMPRESSOR PARTS ,,,,,,
Part Number,Qty,,Part Number,Qty,,Part Number,Qty 
42316075,1,,48CS10 ,1,,5A216A ,55
43CS1 ,41,,48CS2 ,6,,5A35A ,1
43CS10 ,2,,48CS3 ,2,,5A4 ,55
43CS13 ,14,,48CS4 ,2,,5A60N ,8
43CS14 ,2,,48CS5 ,8,,5A60R ,4
43CS2 ,10,,48CS6 ,6,,5A704A ,2
43CS3 ,24,,48C1B ,6,,5ER21A ,1
43CS33WS ,53,,48C10 ,12,,5ER47 ,1
43CS4 ,1,,48C2B ,10,,5ER50 ,1
43CS5 ,1,,48C20 ,12,,5ER55 ,1
43CS6 ,4,,48C20A ,1,,5MQ17 ,1
43CS9 ,12,,48C20B ,7,,50A18BA814 ,11
43C1B ,2,,48C3B ,1,,50A18CA1024 ,7
43C1F ,1,,48C33 ,4,,50S750 ,1
43C10 ,3,,48C4EB ,2,,50274281,2
43C14A ,4,,48C6B ,1,,515H ,2
43C16 ,4,,48C7 ,12,,5238B1 ,5
43C16B ,11,,48KD7NEC ,2,,5238B1T1 ,1
43C18 ,20,,48K1BM ,4,,5239B1 ,4
43C2B ,1,,48K16 ,14,,5299B1P2 ,1
43C2F ,6,,48K4BM ,2,,54CS1CA ,6
43C20 ,2,,48K5R ,6,,54CS1E ,1
43C33 ,20,,48K6 ,6,,54CS2CA ,10
43C7 ,2,,48K9ED ,5,,54CS33C ,10
43K1NA ,2,,4840D1T2 ,1,,54CS4 ,1
43K16 ,3,,4859B1 ,2,,54CS6 ,1
43K2 ,1,,48767904,4,,54C1B ,1
43K3 ,21,,48966,1,,54C11 ,25
43K4NA ,4,,48968,2,,54C14 ,25
43K5NFA ,22,,49839T1 ,1,,54C33 ,21
43K6NFA ,12,,49839T2 ,1,,54C4B ,2
43K7NE ,11,,5.88LUL31C ,1,,54C7 ,10
4310‐212‐9979 ,8,,5.88UL31C1 ,1,,5428B1P2 ,3
4.38E+08 ,1,,5.88UL31C3 ,1,,5452C1 ,2
43930207,3,,5 7/8LUL31C ,8,,55A4C13 ,3
44240T1R1 ,1,,5 7/8UL31C1 ,8,,5618B1G ,48
4553B1 ,8,,5 7/8UL31C3 ,8,,562‐000‐200 ,1
4705B1 ,2,,5A15 ,99,,5687B1T2 ,1
4765B1 ,1,,5A210A ,4,,5687B12 ,2
48CS1 ,4,,5A211 ,55,,5720C1 ,2
,"LC VOUGHT INGERSOLL RAND COMPRESSOR PARTS, PAGE 19 ",,,,,,
,INGERSOLL RAND COMPRESSOR PARTS ,,,,,,
Part Number,Qty,,Part Number,Qty,,Part Number,Qty 
578LUL31C15 ,8,,67C12 ,2,,77A2S150 ,28
5832C1 ,2,,67C14 ,50,,77A2S29 ,44
5833C1 ,3,,67C2B ,1,,7755‐D1 ,1
5835C1 ,9,,67C20 ,22,,7925C1 ,1
5856C1 ,1,,67C33 ,27,,7927C1 ,2
5856C11 ,2,,67C33V ,16,,7931B1P1 ,2
5856C1T1 ,1,,67C8 ,2,,8A11G22A ,6
59A4C11 ,2,,67K22A ,1,,8A11G28E ,4
5914C1 ,14,,67K3A ,90,,8A11G32 ,4
59503417,1,,67K3B ,25,,8A11G32A ,17
6 3/4UL31C3 ,1,,67K6PB ,2,,8ER50 ,2
6A105 ,1,,67K7PA ,2,,8ER59 ,2
6ER49 ,2,,68A4C7 ,4,,8KIN ,1
6ER52 ,2,,688B1 ,1,,8K2NA ,17
6ER59 ,2,,6906D1B ,4,,8K3 ,6
6P114 ,2,,6953C1T ,1,,8K4N ,5
6S211 ,2,,7A10B3 ,2,,8K5 ,19
60CS1 ,4,,7A600 ,2,,8S316 ,2
60CS2 ,3,,7ES1081 ,3,,8XRB143A ,2
60CS33 ,5,,7W85833 ,9,,8XRB146A ,1
60C2B ,3,,7W89534T120 ,6,,8000C1 ,8
60C20 ,2,,7W89534T24 ,22,,8001C1 ,7
60C33 ,34,,7W89536 ,39,,81B1 ,4
60C4B ,2,,7142D1 ,2,,81C1B ,12
60C6B ,3,,73085,1,,81C2B ,7
60X3 ,12,,7323C1‐B ,1,,81C20 ,2
61A4C5 ,59,,736,1,,81C33 ,5
62A3S127 ,4,,75CS1 ,8,,81Y3 ,8
63B1 ,1,,75CS16 ,24,,8106D1T ,1
64B1 ,2,,75CS2 ,8,,8153D1T ,1
640CS33 ,2,,75CS33 ,12,,8277B1‐1 ,2
6424C1 ,1,,75C12 ,48,,8277B1‐2 ,6
6453B1 ,1,,75C14 ,24,,8277B1T1 ,1
6457B1 ,1,,75C33 ,9,,8277B1T2 ,1
6458B1 ,10,,75S750 ,1,,828B1 ,1
67CS33 ,7,,75013,4,,829B1 ,1
67CS33B ,3,,7592GP‐10001E ,2,,8386B1‐3 ,16
67CS33C ,1,,77A2S101 ,4,,8386B1‐4 ,25
67C1B ,4,,77A2S102 ,16,,8386B1T3 ,1
67C10 ,2,,77A3S103 ,12,,8386B1T4 ,1
,"LC VOUGHT INGERSOLL RAND COMPRESSOR PARTS, PAGE 20 ",,,,,,
,INGERSOLL RAND COMPRESSOR PARTS ,,,,,
Part Number,Qty,,Part Number,Qty,Part Number,Qty 
840CS33B ,4,,95223608,1,,
8498C1T ,2,,9541T117 ,1,,
8636D1B ,2,,9541‐117 ,3,,
87A2C149 ,24,,95674651,1,,
87A2S147 ,1,,95674719,1,,
87A2S149 ,1,,95674743,1,,
87A2S150 ,19,,95751266,1,,
87A2S152 ,6,,96533‐B ,1,,
8751D1A‐76 ,7,,96621,1,,
8911B1 ,7,,96671,1,,
9A11G32 ,8,,96676,1,,
9ES12B ,1,,96677,1,,
9ES71 ,1,,96678T638R1 ,1,,
9K3NL ,28,,9791D1BT48 ,2,,
9K8NL ,28,,98VH559R ,4,,
91A2A256 ,2,,985B1 ,13,,
91141366,1,,98668,5,,
92C3B ,1,,98669,1,,
92C33 ,10,,99453,4,,
92C5B ,3,,,,,
92C6B ,1,,,,,
92X11 ,10,,,,,
92121532,1,,,,,
92342781,1,,,,,
93N426 ,4,,,,,
937B1 ,4,,,,,
93742‐150 ,35,,,,,
93742‐166 ,15,,,,,
93472‐39 ,7,,,,,
93742‐61F ,7,,,,,
94972‐35C ,6,,,,,
95D3 ,4,,,,,
95D707 ,2,,,,,
95098703,1,,,,,
95110839,30,,,,,
95111241,20,,,,,
95208740,4,,,,,
95212247,2,,,,,
95214359,1,,,,,
95217618,20,,,,,
,"LC VOUGHT INGERSOLL RAND COMPRESSOR PARTS, PAGE 21 ",,,,,
