JOY DRILL,PARTS
Part Number,Qty,Part Number,Qty,Part Number,Qty
AM3,2,285SP,7,988HA,8
PA3,1,288HA,4,1025HL1,3
13HA,1,294HA2,1,1025HL2,19
13X17,3,294HA3,1,1027HL,5
14D,2,295HA2,6,1037HL1,12
27HA,3,313HL,5,X10413,5
31HA,5,316SP,2,1045D3,4
37X112,6,342HA,11,1045HA,2
AMP38R,1,343HA,1,1049HA,1
39SX33,16,362SP,3,1060HL1,6
40HA,1,383HA1,2,1062HA2,1
40SX5,1,404HA1,1,1077HA,1
42SX12,3,437HA,3,X1112HL1,1
48HA,99,464HL1,1,1112HL1,2
49HA,24,465HL1,29,1113HL,2
49HA1,26,522SP,2,1130HL,1
VA51,1,607HA2,1,1144HL,5
54HA,1,609HA,1,1151HL,8
83HA,3,616HA,3,1153SP,5
84HA1,6,625HA,3,1156HA,3
91HA,59,626HA,2,1198D2,1
PA103L,1,X655HA,1,1249SP,2
AMP115L,1,657SP,4,1253SP,11
AMP125L,1,671HA,7,1255HL,8
137HL,2,694HA,2,1257HA,1
140HL,8,715HA,1,1257HA2,3
162HA,4,768HA,1,1264DG,1
173SP,13,776HA,7,X10266HL,4
AMP200,1,779HA,9,1280SP,8
204HA1,1,824HA,2,1284HL,1
246HA2,1,846HA,2,1299D1,1
248HA,2,862HA2,2,G1326‐3,1
249HA1,2,881HL,5,1345DG,1
251HA1,2,926HA,2,1364SP,3
252HA,3,942HL,3,1505HL,1
252HA1,2,,2,1518AE,1
253HA1,1,964HL,20,1536HA,6
261HA2,2,967HA1,1,1540HA1,1
264HA1,1,973HA,1,1666D1,2
270HL1,3,975HA,22,1722HA,1
284HA2,1,978HA2,2,1723HA,3
LC VOUGHT,JOY DRILL,"PARTS, PAGE",1
Part Number,Qty,Part Number,Qty,Part Number,Qty
1724HA,2,3490HA1,4,3971D4,3
1726HA,3,3491HA,4,4104HA,3
1755HA,1,3492HA,5,4288HA,1
1765HA1,34,3500HA,2,4319HA,1
X1788HA1,7,3502HA,10,4456HA,48
1837D,4,3503HA,7,4460A,1
1850HA,8,3505HA,2,4465HA,28
2122D2,26,3587HA,16,4473HA1,4
2183HA,6,3606HA1,18,4474HA1,5
2275EA,1,3641HA,2,X4475HA,2
2313HA,6,3666HA,5,4476HA,8
2319HA,2,3682HA,2,4486HA,2
2375HA,4,3703HA,8,X4533HA1,3
2470HA,10,3712HA,1,4538HA,2
2539D,6,3713HA,1,4539HA,4
2852HA,4,3722HA,32,4540HA,3
2877HA,15,3824HA,1,4541HA,1
2936HA,1,3826HA,2,4542HA,1
2947HA,4,3832HA1,2,4545HA,11
3108C,2,3833HA2,1,4547HA,10
X3158HA,2,3833HA3,1,4603HA,4
3298HA2,7,3835HA,6,4604HA,1
3342HA,3,3836HA,7,4604HA1,2
3392D2,2,X3836HA,2,4607HA,1
3392D3,2,3837HA,24,4608HA,1
3416HA,9,3838HA,16,4641HA,10
3417HA,8,3855HA,3,4642HA1,3
3461HA,4,3863HA,13,4666A,1
3462HA,31,3865HA,1,4694HA,2
3463HA,60,3867HA,23,4704HA,1
X3464HA,14,3868HA,12,4705HA,4
3466HA,23,3869HA,9,4759HA,1
3471HA,1,X3871HA,5,4840HA,1
3471HA1,2,3873HA2,34,4896HA,10
3472HA1,7,,6,4905D2,4
3476HA1,27,3884HA,9,4986HA,1
X3478HA,45,3885HA,8,5026HA,6
3479HA,19,3893HA,2,5027HA,2
3486HA,3,X3939HA,12,5201HA2,1
3487HA,27,3962HA,31,5202HA2,1
3488HA,16,3970D3,3,5229HA,1
LC VOUGHT,JOY DRILL,"PARTS, PAGE",2
Part Number,Qty,Part Number,Qty,Part Number,Qty
5230HA,1,5874HA,1,6898HA,3
5232HA,1,5937D,1,6900D4,4
5233HA,1,6032D1,14,6931D2,3
5264HA1,1,6047D1,3,6932D2,1
5265HA,16,6096D1,1,6934D2,4
5269HA,6,6115HA,2,6952D,4
5270HA,2,6116D4,2,6959D4,2
5271HA1,4,6119D,36,X6989HA,3
5317HA,6,6184HA,2,7010D,11
5320HA,6,6187HA,15,7010D1,11
5339HA,1,6259HA1,1,7011D1,2
5402HA,6,6266C,1,7023HA,1
5408HA,1,6288HA,1,7077HA,3
5409HA,1,6294C,1,7144HA,4
5409HA2,1,X6319D3,15,7158HA,1
5469D2,1,6342HA2,3,7187HA,1
5478D,1,6355HA,2,7207D1,7
5553HA,1,6397HA,1,7225D1,42
5573D,3,6407D,9,7255D1,8
5607D4,3,6407D1,7,7272HA,1
5608D1,4,6463D1,7,7450HA,1
5620D4,1,6463D2,7,7451HA,1
X5626HA,1,6481HA,1,7452HA,22
5729HA,8,6520HA,1,7453HA,4
5768HA,3,6523HA,15,7458HA,1
5782HA3,9,6527D3,1,7466HA,1
5783D3,9,6527D4,3,7503D1,1
5784HA,13,6568HA,3,7511HA,2
5797D1,6,6570HA,9,7513HA1,1
X5797HA4,4,6571HA,5,X7516HA,1
5799HA,1,6571HA1,9,X7536HA,4
5800HA,9,6588HA,1,7555HA,12
5815HA,1,6613HA,5,7561D,1
X5815HA,8,6736D5,20,7564HA,5
5821HA,2,6736D6,3,7598D1,3
X5821HA,11,6737D3,18,7599D2,28
5824D,7,6767HA,3,7617D3,3
X5824D4,6,6768HA,1,7627D3,1
X5852D4,1,6769D2,1,7628D1,1
5870D1,3,6896D,9,7759D3,1
5872HA,3,6896D1,5,7854HA,2
LC VOUGHT,JOY DRILL,"PARTS, PAGE",3
Part Number,Qty,Part Number,Qty,Part Number,Qty
7948HA,3,X8819HA,2,9926HA1,1
8003HA1,2,8848HA,7,9927HA,19
8030HA,1,8875HA,1,9928HA,1
8031HA,3,8876HA,13,9944D2,5
8044D1,1,8877HA,14,9945D,9
8157D3,7,8914D,14,9954HA,1
8158HA,1,8925JS,2,9958HA,7
8223HA,4,8936HA,11,9959HA,7
8224HA,6,8937HA,5,10205D,3
8292HA,2,8938HA,8,10241D,1
8330D1,3,8939HA,23,10258D,1
8333HA,1,X8961HA,3,10258D1,8
8355HA,1,X8964HA,13,10277D,1
8365D1,4,9001D1,2,10278D,2
X8410HA,1,9015D2,1,10279D,11
8431D2,4,9041D,10,10303D1,1
8431D3,8,9055HA,4,10305D1,1
8432D,6,9055HA1,1,10306D5,19
8435D,23,9056HA1,2,10306D7,1
8487HA,15,9070HA,2,10312D1,1
8488HA,9,9119D1,1,10313D,7
8547HA,6,9146HA,2,10314HA,19
X8571HA,1,X9187HA,1,10328D,2
8584D,6,9230HA1,1,10329D,2
XA8625HA,1,9375D2,3,X10329HA1,1
8651HA,1,9476D2,2,10330D,4
X8658HA,3,9477D3,20,10330HA2,2
X8659HA,9,9491HA,3,10340D,2
8685HA,4,9492HA,2,10346HA,1
X8686,1,9512D,4,10362D1,1
8687HA,5,X9514D,2,10362D2,3
8704HA2,4,9551HA,5,10363D,4
8710HA1,2,9572HA,2,10365D,4
8713HA,1,9660HA,2,10432HA,12
8714HA,5,9683D1,4,10435C,1
8716HA,1,9684D,99,X10440D1,7
XA8727HA,1,9702HA,4,10441D1,3
8764HA,10,X9714HA,2,10442D,1
8805HA,1,XA9714HA,2,10442D1,1
8815HA,40,9716HA,7,10442D2,1
X8818HA,7,9846D,29,10443D,7
LC VOUGHT,JOY DRILL,"PARTS, PAGE",4
Part Number,Qty,Part Number,Qty,Part Number,Qty
10443D5,1,10617D,2,11080D1,14
10444D2,1,10621D,2,11082D,11
10445C,2,10622HA,1,XA11083D1,1
10445D,1,10624D,1,11084D2,14
10445D3,1,10643D,1,11085D,2
10446D1,3,10648D,1,11086D,15
10446D2,3,10652D,3,11087D2,4
10447D,59,10653D,4,XA11088D1,1
10448D,1,10655D,1,11090D2,2
10449D3,2,10656D1,13,11093D,10
10450D2,4,10657D1,1,11096D1,1
10451D,4,10658D2,29,11098D1,20
10452D,3,10675D,2,11113D,1
10455D,1,10698D,1,11127D,13
10457D,4,10698D6,3,11147D,35
10459D3,26,10730D,3,11159D,1
10460D,97,10749D1,2,11159D1,1
10461D,29,10780D1,2,11180D,2
10461D2,11,10792D,8,11191D,2
10462D1,1,10813D,1,11194D,2
10462D2,52,10815D,6,11207D,6
10463D,1,10820D,6,11221D1,1
10464D,1,10821D,12,11230D,6
10468D,1,10822D,2,11231D,2
10548D,4,10825D,6,11243D,4
10549D4,4,10828D,1,11260D,7
10576D,2,10842D1,3,11330D,1
10577D,4,10854D,2,11342D1,3
10584D1,57,10948D2,1,11344D,3
10585D2,1,10953D2,2,11345D1,6
10586D,1,10973C,2,11346D1,1
10586D2,1,11041D3,4,11348D1,1
X10588HA,8,11042D,1,11351D1,7
10592D1,1,11059D,24,11352D2,1
X10599HA,2,11063D1,2,11353D,2
10605D1,1,11064D1,2,11354D,1
10606D2,99,11073D,45,11355D,1
10609D3,3,11074D2,19,11356D,22
10612D2,3,11075D1,9,11388D,2
10613D1,7,11075D2,3,X11401D2,7
X10615D1,1,11077D1,3,11402D,3
LC VOUGHT,JOY DRILL,"PARTS, PAGE",5
Part Number,Qty,Part Number,Qty,Part Number,Qty
11406D,7,11886D,1,12207D,2
11406D2,6,11890D,1,12222D,1
11408D1,9,11893D,3,12223D,2
11412D,4,11899D,2,12227D,1
11413D,1,11902D,2,12228D,2
11420D,23,11930D,1,12235D,1
11433D,1,11931D7,1,X12255D,4
11443D1,1,11932D,1,12320D,1
11449D,24,12003D,7,12327D,15
11456D,20,12017D,1,12331D,1
11457D,43,12027D,3,12331D1,6
11484D,1,12031D,4,12338D1,5
11485D,1,12036CE,4,12366D,1
11494D,1,12037D,99,12368D,1
11517D,1,12041D,2,12368D2,1
X11517D,4,12051D,6,12429D,1
11518D,1,12055D2,2,12431D,3
X11519D1,5,12062D,5,12470D,5
11585D,7,X12062D,1,12501D,1
X11587D1,5,12063D1,1,12558D1,1
11592D,3,12063D2,3,12559D,3
11608D,3,12088D,1,12561D,9
11623D,1,12088D1,4,12563D,2
11666D1,9,12094D,7,12565D,5
11669D2,2,12095D,12,12566D,5
11696D,20,12096D,2,12568D,1
11696D1,7,12099D,7,12569D,14
11697D1,2,12100D,18,12577D2,1
11699D,88,12101D,17,12579D,2
11699D1,14,12105D,10,12580D1,1
11703D,1,12108D,2,12584D1,7
11742D1,99,12143D4,1,12588D,1
11749D2,2,12148D1,1,12596CE,9
11759D1,1,12162D2,1,12622D,1
11779D,1,12167D2,16,12637D,1
11779D1,2,X12168D2,14,12658C,1
11781D1,38,12181D3,2,12659D2,2
11837D1,6,12197D,1,12664C,4
11856D,2,12198D,4,12666D,1
11878D,2,12205D,5,12687D1,1
11879D,2,12206D2,1,12688D,2
LC VOUGHT,JOY DRILL,"PARTS, PAGE",6
Part Number,Qty,Part Number,Qty,Part Number,Qty
12699D1,2,16402CM,6,126043,1
12722D,14,17617D3,1,126045B,2
12786D1,1,44723,1,126051,1
12788D,3,44727,2,126091,9
12803D,5,44728,2,126094,4
12830D,2,66627,1,126095,2
12850D1,1,106571D1,15,126199,2
12856D,1,115706,3,126200,2
12858D1,1,125063,2,126207,4
12859D,4,125064,1,126208,2
12879D,3,125077A,8,126212,4
12882D,1,125079B,25,126213,1
12982D,1,125093,3,126303,19
13302D,4,125095,4,126304,3
13303D,9,125104,8,126332,1
13317D,11,125109,15,126333,3
13320D,2,125137,1,126434,4
13321D,1,125140,12,126441A,1
13322D,3,125196,5,126445,1
X13323D,5,125213,2,126455‐1,5
13325D,3,125214,1,126455‐2,2
13327D,1,129219‐4,1,126457B,1
13333D,9,125268,6,126459A,1
13506D,6,125271,2,126465A,8
13543D,10,125344,2,126467,1
13551D,8,125369,28,126468,2
13708D,4,A125411A,1,A126486,2
X13803D,2,125413,1,126552,1
13862D,10,125508B,1,126557,1
13881D,2,125509B,3,126558,2
13881D1,1,125536,5,126560,11
14064D,2,125548,1,126579,1
14106D,6,125589,2,126586,1
14107D,2,125592,9,126590,2
14334,1,125708A,2,126609,1
14335C,1,125709,5,A126717,4
14578C,1,125715A,4,A126806,1
14908C,1,125719,7,126881,1
14909C,1,125764,2,126901,32
15088C,4,125797,3,126920,2
15096C,1,126029,2,126931,1
LC VOUGHT,JOY DRILL,"PARTS, PAGE",7
Part Number,Qty,Part Number,Qty,Part Number,Qty
A126998,3,128102,2,131322,1
127040,3,128108,1,131344,9
127043,10,128113A,3,131345,4
127046,2,128114A1,20,131348,4
127067,9,128114A2,25,131385,1
RA127067,3,128114‐1,1,131386,2
127068,8,128114‐4,1,131389,1
127069,3,128136,12,131403,21
127100,4,128146,1,131522,4
A127137,36,A128216,1,A131571,2
127205‐2,1,128217,10,A131586,2
A127271,2,128220,99,A131760A,7
A127277‐1,1,128497,4,131844,1
A127277‐2,4,128739,1,A131845,1
A127279‐4,14,128784,1,RA131996,2
A127279‐7,11,A128896,4,132126A,2
A127280‐2,3,128902,1,132256,7
A127280‐3,3,128947,6,A132257,2
127296,1,A128948,2,132263A,2
127325,8,128949,4,132375,8
127358,6,A129018,1,132376,1
127557,5,129039,10,132380,1
127558,4,129336,1,132865,2
127609,1,129438,1,133870,2
127649,99,129680,6,133395‐3,4
127656,2,129701,7,133395‐4,1
127770,3,130157,7,133952,4
127773,3,130499,7,133955,2
127835,3,130525,1,134116,1
A127845,10,A130658,3,134131,24
127891,20,130684,3,134474A,5
127893,4,A130723,3,134658,1
127924‐2,1,130761,1,134702,1
127931,5,130769,1,134763,1
127937,3,130780,2,134890,1
128017,2,130887,4,134907,3
128019,1,131278,3,134941,1
128064,3,131279‐1,7,135034,1
128065,5,131279‐2,6,135035,2
128095A,1,131279‐3,1,135077,1
128101,1,131318,3,A135139‐1,2
LC VOUGHT,JOY DRILL,"PARTS, PAGE",8
Part Number,Qty,Part Number,Qty,Part Number,Qty
A135139‐2,2,138432,1,150402,1
135271,1,138435,1,150407,6
135279,1,138438,9,150412,4
A135287,3,138439,7,150430,4
135520,1,138440,1,150442,7
135521,4,138442,1,150450,2
A135524,1,138443,1,150488,1
A135548,1,138444,1,150621A,1
135798,10,138446,1,150778,9
A135937,1,138447,1,150870A,1
135968,2,138448,1,150880,2
135992,1,138453,1,150885,1
137087A,8,138454,2,A150891B,1
137212A,1,138455,2,150957,2
137249,1,138459,1,150959,1
137250,1,138469,6,150960,1
137259,2,138590,3,151092,6
137261,3,138602B,1,151132,1
137346A,1,138702,1,151133,12
A137366,1,138703,1,151172,4
A137558,3,138798,23,151212A,10
A137574,10,139105‐52,1,151213A,3
137581A,3,A139574,1,151258,1
A137591,8,150001,3,A151275,4
137626,1,150167,1,151598,1
A137628,5,150171,4,151610,3
A137629,2,150217,2,151622A,1
137772,2,150218,1,A151637,2
A137773A,1,150218A,2,151639A,6
137774,1,150219A,2,151640A,6
137775,3,150220,1,151642A,2
A137780,1,150220A,1,151645,1
137804,2,150235,4,151669A,2
137806,8,150244,6,151670,2
138282,3,150245A,41,151671,12
A138284,2,150252,1,151673,1
138410,1,150258,1,151687,11
138422,2,150260,1,151688,4
138424,5,150273A,2,151690,61
138425,3,150276A,3,151699,16
A138431,1,150401,2,A151702,29
LC VOUGHT,JOY DRILL,"PARTS, PAGE",9
Part Number,Qty,Part Number,Qty,Part Number,Qty
151710,42,152775B,1,153992,5
151711,16,152776A,2,153993,1
151712,47,A152794,3,A154001,1
151716A,3,152838A,1,154028,13
151717A,2,152875A,1,154029,24
A151721,15,152876A,1,154038,3
151722,8,152878,5,A154042,9
151723,10,A152888,7,A154044,1
151794,11,152898,3,A154051,19
A151860,4,152912,4,154258,1
151862,3,152913,75,154353,4
152145A,2,152922,1,154376,8
152190,4,152924,1,154380,5
152191,2,A152930,6,154381,9
152200,77,A152931,1,154383,1
152203,9,152932,2,154421,2
A152208,14,152933,2,A154526,19
152222,3,A152967,4,154555,1
152223,1,A152968,4,154737,2
A152228,2,153197,2,154799,4
A152229,2,153203,10,154800,2
152268,2,153234,1,154803,32
152270A,4,A153246,5,154804,6
A152273,13,153247,5,154816,99
152275,1,153266,2,A154892,6
152276,1,A153790,1,A154926,5
A152300,1,153841,55,155035,3
152388,3,A153869,13,155036,67
152391,13,A153870,7,155037,21
152515,3,153871,5,155184,6
152516,1,153872,4,155268,5
152547A,1,153873,4,155290,3
152551A,1,153874,12,155295,8
152572,3,153875,34,155437,2
152580,15,153876,35,RA155444,2
152581,26,A153881,24,A155470,5
A152685,6,153902,1,155505,5
A152686,6,153903,2,155506,21
152710A,4,A153954,2,155507,99
152741,2,A153956,1,155508,15
152764,2,153989,8,155602,4
LC VOUGHT,JOY DRILL,"PARTS, PAGE",10
Part Number,Qty,Part Number,Qty,Part Number,Qty
155608,15,209577,16,A356228‐2,13
155609,3,218149,1,356299‐6,2
155706,6,221016,1,356233‐1,1
155708,1,221335,1,356302‐2,1
155714,1,221718,1,356302‐3,3
A155798A,5,221756,1,356331,6
155799,5,221783,1,356363,1
155805,2,221836,4,356364,15
155806,1,A221898,1,356375‐2,4
155807A,2,A221991,1,356382‐1,12
155808,2,A222020,4,357958,1
155809,1,222351,1,501002‐258,1
155810A,8,222529,3,501002‐407,2
155824,16,222530,1,501002‐427,2
155827‐3,5,222783,1,501002‐464,1
155853,1,244547,6,501002‐,
A155856 155861 155865 155890 A155893 155898 155903 155904 155915 155995 156028 156087 A156527 156664 156716 156719 156756 156761 156762 202507 203102 203282 203505 205055 207866,1 2 2 1 1 2 1 2 1 2 13 3 2 5 16 32 11 2 2 25 20 4 1 7 5,250316 250317 250937 250940 250944 250945 290037 290120 324689‐1 350297 352353‐1 355052 355822 355832‐2 355832‐7 355833 355838 355842 356027 356048 A356087 A356091 356198‐2 356227 A356228,1111477264242121232211721,4071 501002‐6851 501003‐2 501003‐26 501005‐49 501016‐19 501016‐72 501016‐74 501016‐88 501016‐227 501023‐17 501023‐19 501029‐13 501029‐63 501029‐74 501029‐78 501052‐33 501052‐63 501052‐73 501052‐81 501064‐6 501072‐5 501083‐1 501083‐29,111212211112111411111512
LC VOUGHT,JOY DRILL,"PARTS, PAGE",11
Part Number,Qty,Part Number,Qty,Part Number,Qty
501086‐1,1,546542,1,900302‐3,34
501086‐3,1,546660,1,900302‐4,12
501087‐1,4,546776,1,900302‐10,3
501087‐2,6,600602‐373,1,900302‐64,4
501088‐9,1,700310‐,,900306‐4,6
501099‐6,2,1553,1,900322‐19,1
501099‐79,2,701701‐53,1,900322‐21,2
501099‐148,5,701701‐71,1,900335‐109,1
502002‐23,1,701701‐76,1,900437‐8,4
502002‐63,1,701701‐89,1,900448‐6,4
502224‐753,6,900012‐23,8,900490‐33,2
503043‐15,1,900012‐124,4,900490‐35,16
504232,1,900012‐154,2,900502‐65,1
504456,1,900012‐554,42,900502‐152,3
504549,19,900015‐73,4,900502‐173,4
504891‐2,1,900020‐1,4,900572‐15,15
504947‐1,4,900020‐14,99,900573‐3,2
506209‐33,1,900020‐24,16,900620‐30,2
506214‐59,1,900020‐25,7,900670‐108,40
519022‐8,2,900020‐33,7,900906‐36,4
519025‐7,1,900020‐45,4,900906‐37,1
519025‐18,2,900020‐55,4,900906‐102,2
519025‐27,1,900020‐56,8,900906‐117,1
519036‐72,1,900020‐123,40,900906‐134,1
519036‐119,1,900057‐571,8,900906‐212,2
519036‐148,1,900119‐40,3,900906‐248,1
519040‐4,1,900160‐6,8,900906‐271,1
519055‐6,2,900160‐7,7,900906‐361,1
